ID-T;PLAZA VINCULADA;% ÚTIL PRIV-T;CONST-T;ÚTIL PRIV-T;CALIFICABLE-T;PRECIO MÁX-T
B1-TR-26;B1-PL-26;0,13%;11,86;6,98;6,98;11.236,74 €
B1-TR-27;B1-PL-27;0,13%;11,85;6,97;6,97;11.220,64 €
B1-TR-28;B1-PL-28;0,13%;11,85;6,97;6,97;11.220,64 €
B1-TR-29;B1-PL-29;0,13%;11,85;6,97;6,97;11.220,64 €
B1-TR-30;B1-PL-30;0,13%;11,85;6,97;6,97;11.220,64 €
B1-TR-31;B1-PL-31;0,13%;11,85;6,97;6,97;11.220,64 €
B1-TR-32;B1-PL-32;0,14%;12,35;7,27;7,27;11.703,59 €
B1-TR-33;B1-PL-33;0,14%;12,35;7,27;7,27;11.703,59 €
B1-TR-34;B1-PL-34;0,13%;11,85;6,97;6,97;11.220,64 €
B1-TR-35;B1-PL-35;0,13%;11,85;6,97;6,97;11.220,64 €
B1-TR-36;B1-PL-36;0,13%;11,85;6,97;6,97;11.220,64 €
B1-TR-37;B1-PL-37;0,14%;12,35;7,27;7,27;11.703,59 €
B1-TR-38;B1-PL-38;0,14%;12,35;7,27;7,27;11.703,59 €
B1-TR-39;B1-PL-39;0,13%;11,85;6,97;6,97;11.220,64 €
B1-TR-40;B1-PL-40;0,13%;11,85;6,97;6,97;11.220,64 €
B1-TR-41;B1-PL-41;0,13%;11,85;6,97;6,97;11.220,64 €
B1-TR-42;B1-PL-42;0,14%;12,35;7,27;7,27;11.703,59 €
B1-TR-43;B1-PL-43;0,14%;12,35;7,27;7,27;11.703,59 €
B1-TR-44;B1-PL-44;0,13%;11,85;6,97;6,97;11.220,64 €
B1-TR-45;B1-PL-45;0,13%;11,85;6,97;6,97;11.220,64 €
B1-TR-46;B1-PL-46;0,13%;11,85;6,97;6,97;11.220,64 €
B1-TR-47;B1-PL-47;0,13%;11,85;6,97;6,97;11.220,64 €
B1-TR-48;B1-PL-48;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-01;B2-PL-01;0,18%;16,33;9,61;8;12.878,78 €
B2-TR-02;B2-PL-02;0,18%;16,01;9,42;8;12.878,78 €
B2-TR-03;B2-PL-03;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-04;B2-PL-04;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-05;B2-PL-05;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-06;B2-PL-06;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-07;B2-PL-07;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-08;B2-PL-08;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-09;B2-PL-09;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-10;B2-PL-10;0,14%;12,35;7,27;7,27;11.703,59 €
