GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS
ID-G;TRASTERO VINC;% ÚTIL PRIV-G;CONST-G;ÚTIL PRIV-G;ZC RODADURA;PRIV+ZC;CALIFICABLE-G;PRECIO MÁX-G;TIPO-G;ID-T;% ÚTIL PRIV2;CONST-T;ÚTIL PRIV-T;CALIFICABLE-T;PRECIO MÁX-T
B1-PL-14;B1-TR-14;0,25%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B1-TR-14;0,13%;11,85;6,97;6,97;11.220,64 €
B1-PL-15;B1-TR-15;0,25%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B1-TR-15;0,13%;11,85;6,97;6,97;11.220,64 €
B1-PL-16;B1-TR-16;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-16;0,13%;11,85;6,97;6,97;11.220,64 €
B1-PL-17;B1-TR-17;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-17;0,13%;11,85;6,97;6,97;11.220,64 €
B1-PL-18;B1-TR-18;0,25%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B1-TR-18;0,13%;11,85;6,97;6,97;11.220,64 €
B1-PL-19;B1-TR-19;0,26%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B1-TR-19;0,13%;11,85;6,97;6,97;11.220,64 €
B1-PL-20;B1-TR-20;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-20;0,13%;11,85;6,97;6,97;11.220,64 €
B1-PL-21;B1-TR-21;0,31%;27,57;16,22;2,55;18,77;18,77;30.216,85 €;ABIERTO;B1-TR-21;0,16%;14,19;8,35;8;12.878,78 €
B1-PL-22;B1-TR-22;0,39%;34,59;20,35;3,2;23,55;23,55;37.911,92 €;ABIERTO;B1-TR-22;0,21%;18,27;10,75;8;12.878,78 €
B1-PL-23;B1-TR-23;0,39%;34,8;20,48;3,22;23,7;23,7;38.153,40 €;ABIERTO;B1-TR-23;0,21%;18,41;10,83;8;12.878,78 €
B1-PL-24;B1-TR-24;0,31%;27,57;16,22;2,55;18,77;18,77;30.216,85 €;ABIERTO;B1-TR-24;0,16%;14,17;8,34;8;12.878,78 €
B1-PL-25;B1-TR-25;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-25;0,13%;11,81;6,95;6,95;11.188,44 €
B1-PL-26;B1-TR-26;0,26%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B1-TR-26;0,13%;11,86;6,98;6,98;11.236,74 €
B1-PL-27;B1-TR-27;0,26%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B1-TR-27;0,13%;11,85;6,97;6,97;11.220,64 €
