;DATOS GENERALES;DATOS GENERALES;DATOS GENERALES;DATOS GENERALES;DATOS GENERALES;UBICACIÓN;UBICACIÓN;UBICACIÓN;UBICACIÓN;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;ÚTIL SERV.COM.;SUP. ÚTILES EXTERIORES PRIVATIVAS;SUP. ÚTILES EXTERIORES PRIVATIVAS;SUP. ÚTILES EXTERIORES PRIVATIVAS;SUP. ÚTILES EXTERIORES PRIVATIVAS;TOTAL ÚTIL VIVIENDAS;TOTAL ÚTIL VIVIENDAS;TOTAL ÚTIL VIVIENDAS;TOTAL ÚTIL VIVIENDAS;TOTAL ÚTIL VIVIENDAS;TOTAL ÚTIL VIVIENDAS;CONSTRUIDO INTERIOR. CRITERIO VPP;CONSTRUIDO INTERIOR. CRITERIO VPP;CONSTRUIDO INTERIOR. CRITERIO VPP;CONSTRUIDO INTERIOR. CRITERIO LIBRE;CONSTRUIDO INTERIOR. CRITERIO LIBRE;CONSTRUIDO INTERIOR. CRITERIO LIBRE;CONSTRUIDO REAL PRIVATIVO EXTERIOR(CRITERIO URBANÍSTICO);CONSTRUIDO REAL PRIVATIVO EXTERIOR(CRITERIO URBANÍSTICO);CONSTRUIDO REAL PRIVATIVO EXTERIOR(CRITERIO URBANÍSTICO);CONSTRUIDO REAL PRIVATIVO EXTERIOR(CRITERIO URBANÍSTICO);CONSTRUIDO REAL PRIVATIVO EXTERIOR(CRITERIO URBANÍSTICO);CONSTRUIDO REAL PRIVATIVO EXTERIOR(CRITERIO URBANÍSTICO);CONSTRUIDO TOTAL;CONSTRUIDO TOTAL;CONSTRUIDO TOTAL;PRECIOS MÁX. VIV
VIVIENDAS;Nº DORM;Nº BAÑOS;EDIFICIO;FASE;PORTAL;NIVEL;TIPO;POSICIÓN;ORIENTACIÓN;ENTRADA;DISTRIB. 1;E+C;K;E+C+K;LAV;D1;D2;D3;D4;B1;B2;TOTAL;S. SOCIAL;DESCUBIERTAS;CUBIERTAS;TOTAL2;EXT. COMP.;REAL I+E;REAL I+EXT POND 50%;CRIT.VPP;MÁX;CALIFICABLE;% PARTICIP.;NETA;Z. COMÚN/ÚTIL;NETA+ZC/ÚTIL;NETA2;ZC/C.NETA;NETA+ZC/C.NETA;COMP 100%;COMP 50%;COMP 25%;COMP 0%;TOTAL EXT REAL;TOTAL EXT COMP.;URBANÍSTICO;CRITERIO VPP;DECRETO;MÁXIMO
B1-2-B;2;2;B1;1;1;2;Central;Campo de Golf;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;0,00;9,27;9,27;4,64;68,67;64,04;64,04;70,00;64,04;0,4548%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;5,46;0,00;0,00;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B1-2-C;3;2;B1;1;1;2;Esquina;Campo de Golf;NorEste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;0,00;7,12;7,12;3,56;75,12;71,56;71,56;90,00;71,56;0,5082%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;4,44;0,00;0,00;4,44;2,22;80,19;80,19;80,19;192.001,20 €
B1-2-D;3;2;B1;1;1;2;Esquina;Zona Verde Pública;NorOeste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;0,00;7,12;7,12;3,56;75,12;71,56;71,56;90,00;71,56;0,5082%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;4,44;0,00;0,00;4,44;2,22;80,19;80,19;80,19;192.001,20 €
B1-2-E;3;2;B1;1;1;2;Central;Zona Verde Pública;SurOeste;0,00;2,31;0,00;0,00;25,96;0,00;15,57;8,11;8,11;0,00;3,79;2,52;66,37;0,00;0,00;11,06;11,06;5,53;77,43;71,90;71,90;90,00;71,90;0,5106%;75,63;0,00;75,63;75,63;0,00;75,63;0,00;6,60;0,00;0,00;6,60;3,30;78,93;78,93;78,93;192.913,45 €
B1-2-F;3;2;B1;1;1;2;Central;Zona Verde Pública;SurOeste;3,81;2,48;0,00;0,00;26,64;0,00;12,52;8,26;8,26;0,00;4,55;4,80;71,32;0,00;0,00;9,71;9,71;4,86;81,03;76,18;76,18;90,00;76,18;0,5410%;82,61;0,00;82,61;82,61;0,00;82,61;0,00;5,60;0,00;0,00;5,60;2,80;85,41;85,41;85,41;204.397,03 €
B1-2-G;3;2;B1;1;1;2;Central;Zona Verde Pública;SurOeste;3,81;2,48;0,00;0,00;26,64;0,00;12,52;8,26;8,26;0,00;4,55;4,80;71,32;0,00;0,00;9,71;9,71;4,86;81,03;76,18;76,18;90,00;76,18;0,5410%;82,61;0,00;82,61;82,61;0,00;82,61;0,00;5,60;0,00;0,00;5,60;2,80;85,41;85,41;85,41;204.397,03 €
B1-2-H;3;2;B1;1;1;2;Central;Zona Verde Pública;SurOeste;0,00;2,31;0,00;0,00;25,96;0,00;15,57;8,11;8,11;0,00;3,79;2,52;66,37;0,00;0,00;11,06;11,06;5,53;77,43;71,90;71,90;90,00;71,90;0,5106%;75,63;0,00;75,63;75,63;0,00;75,63;0,00;6,60;0,00;0,00;6,60;3,30;78,93;78,93;78,93;192.913,45 €
B1-2-I;3;2;B1;1;1;2;Esquina;Zona Verde Pública;SurEste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;0,00;7,12;7,12;3,56;75,12;71,56;71,56;90,00;71,56;0,5082%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;4,44;0,00;0,00;4,44;2,22;80,19;80,19;80,19;192.001,20 €
B1-2-J;3;2;B1;1;1;2;Esquina;Campo de Golf;NorEste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;0,00;7,12;7,12;3,56;75,12;71,56;71,56;90,00;71,56;0,5082%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;4,44;0,00;0,00;4,44;2,22;80,19;80,19;80,19;192.001,20 €
B1-2-K;2;2;B1;1;1;2;Central;Campo de Golf;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;0,00;9,27;9,27;4,64;68,67;64,04;64,04;70,00;64,04;0,4548%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;5,46;0,00;0,00;5,46;2,73;71,48;71,48;71,48;171.824,44 €
