;DATOS GENERALES;DATOS GENERALES;DATOS GENERALES;DATOS GENERALES;DATOS GENERALES;UBICACIÓN;UBICACIÓN;UBICACIÓN;UBICACIÓN;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;ÚTIL SERV.COM.;SUP. ÚTILES EXTERIORES PRIVATIVAS;SUP. ÚTILES EXTERIORES PRIVATIVAS;SUP. ÚTILES EXTERIORES PRIVATIVAS;SUP. ÚTILES EXTERIORES PRIVATIVAS;TOTAL ÚTIL VIVIENDAS;TOTAL ÚTIL VIVIENDAS;TOTAL ÚTIL VIVIENDAS;TOTAL ÚTIL VIVIENDAS;TOTAL ÚTIL VIVIENDAS;TOTAL ÚTIL VIVIENDAS;CONSTRUIDO INTERIOR. CRITERIO VPP;CONSTRUIDO INTERIOR. CRITERIO VPP;CONSTRUIDO INTERIOR. CRITERIO VPP;CONSTRUIDO INTERIOR. CRITERIO LIBRE;CONSTRUIDO INTERIOR. CRITERIO LIBRE;CONSTRUIDO INTERIOR. CRITERIO LIBRE;CONSTRUIDO REAL PRIVATIVO EXTERIOR(CRITERIO URBANÍSTICO);CONSTRUIDO REAL PRIVATIVO EXTERIOR(CRITERIO URBANÍSTICO);CONSTRUIDO REAL PRIVATIVO EXTERIOR(CRITERIO URBANÍSTICO);CONSTRUIDO REAL PRIVATIVO EXTERIOR(CRITERIO URBANÍSTICO);CONSTRUIDO REAL PRIVATIVO EXTERIOR(CRITERIO URBANÍSTICO);CONSTRUIDO REAL PRIVATIVO EXTERIOR(CRITERIO URBANÍSTICO);CONSTRUIDO TOTAL;CONSTRUIDO TOTAL;CONSTRUIDO TOTAL;PRECIOS MÁX. VIV
VIVIENDAS;Nº DORM;Nº BAÑOS;EDIFICIO;FASE;PORTAL;NIVEL;TIPO;POSICIÓN;ORIENTACIÓN;ENTRADA;DISTRIB. 1;E+C;K;E+C+K;LAV;D1;D2;D3;D4;B1;B2;TOTAL;S. SOCIAL;DESCUBIERTAS;CUBIERTAS;TOTAL2;EXT. COMP.;REAL I+E;REAL I+EXT POND 50%;CRIT.VPP;MÁX;CALIFICABLE;% PARTICIP.;NETA;Z. COMÚN/ÚTIL;NETA+ZC/ÚTIL;NETA2;ZC/C.NETA;NETA+ZC/C.NETA;COMP 100%;COMP 50%;COMP 25%;COMP 0%;TOTAL EXT REAL;TOTAL EXT COMP.;URBANÍSTICO;CRITERIO VPP;DECRETO;MÁXIMO
B1-3-J;3;2;B1;1;1;3;Esquina;Campo de Golf;NorEste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;7,12;0,00;7,12;0,00;75,12;71,56;68,00;90,00;68,00;0,4829%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;0,00;0,00;0,00;0,00;0,00;77,97;77,97;77,97;182.449,44 €
B1-3-K;2;2;B1;1;1;3;Central;Campo de Golf;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;9,27;0,00;9,27;0,00;68,67;64,04;59,40;70,00;59,40;0,4218%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;5,46;0,00;0,00;5,46;2,73;71,48;71,48;71,48;159.374,95 €
B1-3-L;2;2;B1;1;1;3;Central;Campo de Golf;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;9,27;0,00;9,27;0,00;68,67;64,04;59,40;70,00;59,40;0,4218%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;5,46;0,00;0,00;5,46;2,73;71,48;71,48;71,48;159.374,95 €
B1-4-A;4;2;B1;1;1;4;Ático Esquina;Zona Verde Pública;SurOeste;2,45;4,22;0,00;0,00;33,88;0,00;14,95;8,36;8,54;8,86;5,25;3,16;89,67;0,00;221,51;0,00;221,51;0,00;311,18;200,43;89,67;90,00;89,67;0,6368%;104,49;0,00;104,49;104,49;0,00;104,49;0,00;0,00;0,00;0,00;0,00;0,00;104,49;104,49;104,49;240.591,78 €
B1-4-B;3;2;B1;1;1;4;Ático Central;Zona Verde Pública;SurOeste;0,00;2,39;0,00;0,00;30,40;0,00;12,49;8,19;8,07;0,00;5,01;5,13;71,68;0,00;48,58;0,00;48,58;0,00;120,26;95,97;71,68;90,00;71,68;0,5090%;83,84;0,00;83,84;83,84;0,00;83,84;0,00;0,00;0,00;0,00;0,00;0,00;83,84;83,84;83,84;192.323,17 €
B1-4-C;3;2;B1;1;1;4;Ático Central;Zona Verde Pública;SurOeste;0,00;2,39;0,00;0,00;30,40;0,00;12,49;8,19;8,07;0,00;5,01;5,13;71,68;0,00;48,58;0,00;48,58;0,00;120,26;95,97;71,68;90,00;71,68;0,5090%;83,84;0,00;83,84;83,84;0,00;83,84;0,00;0,00;0,00;0,00;0,00;0,00;83,84;83,84;83,84;192.323,17 €
B1-4-D;4;2;B1;1;1;4;Ático Esquina;Zona Verde Pública;SurOeste;2,45;4,22;0,00;0,00;33,88;0,00;14,95;8,36;8,54;8,86;5,25;3,16;89,67;0,00;222,89;0,00;222,89;0,00;312,56;201,12;89,67;90,00;89,67;0,6368%;104,49;0,00;104,49;104,49;0,00;104,49;0,00;0,00;0,00;0,00;0,00;0,00;104,49;104,49;104,49;240.591,78 €
B2-0-A;2;2;B2;2;1;0;Central;Campo de Golf;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;84,66;10,70;95,36;5,35;154,76;107,08;64,75;70,00;64,75;0,4598%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;5,46;0,00;0,00;5,46;2,73;71,48;71,48;71,48;173.729,43 €
B2-0-B;2;2;B2;2;1;0;Central;Campo de Golf;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;73,61;11,05;84,66;5,53;144,06;101,73;64,93;70,00;64,93;0,4611%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;5,46;0,00;0,00;5,46;2,73;71,48;71,48;71,48;174.212,38 €
B2-0-C;4;2;B2;2;1;0;Esquina;Campo de Golf;NorEste;0,00;4,42;0,00;0,00;32,66;0,00;14,65;10,36;8,03;8,03;4,51;3,11;85,77;0,00;148,69;8,54;157,23;4,27;243,00;164,39;90,04;90,00;90,00;0,6391%;98,42;0,00;98,42;98,42;0,00;98,42;0,00;4,44;0,00;0,00;4,44;2,22;100,64;100,64;100,64;241.477,20 €
B2-0-D;4;2;B2;2;1;0;Esquina;Campo de Golf;NorOeste;0,00;4,42;0,00;0,00;32,66;0,00;14,65;10,36;8,03;8,03;4,51;3,11;85,77;0,00;122,27;8,66;130,93;4,33;216,70;151,24;90,10;90,00;90,00;0,6391%;98,42;0,00;98,42;98,42;0,00;98,42;0,00;4,44;0,00;0,00;4,44;2,22;100,64;100,64;100,64;241.477,20 €
B2-0-E;3;2;B2;2;1;0;Central;Piscina;SurOeste;0,00;2,31;0,00;0,00;25,96;0,00;15,57;8,11;8,11;0,00;3,79;2,52;66,37;0,00;50,30;13,43;63,73;6,64;130,10;98,24;73,01;90,00;73,01;0,5185%;75,63;0,00;75,63;75,63;0,00;75,63;0,00;6,60;0,00;0,00;6,60;3,30;78,93;78,93;78,93;195.891,67 €
B2-0-F;2;2;B2;2;1;0;Central;Piscina;SurOeste;0,00;1,53;0,00;0,00;26,99;0,00;12,38;8,41;0,00;0,00;4,19;4,66;58,16;0,00;62,64;6,43;69,07;3,22;127,23;92,70;61,38;70,00;61,38;0,4359%;66,43;0,00;66,43;66,43;0,00;66,43;0,00;3,31;0,00;0,00;3,31;1,66;68,09;68,09;68,09;164.687,45 €
B2-0-G;2;2;B2;2;1;0;Central;Piscina;SurOeste;0,00;1,53;0,00;0,00;26,99;0,00;12,38;8,41;0,00;0,00;4,19;4,66;58,16;0,00;62,31;6,34;68,65;3,17;126,81;92,49;61,33;70,00;61,33;0,4355%;66,43;0,00;66,43;66,43;0,00;66,43;0,00;3,27;0,00;0,00;3,27;1,64;68,07;68,07;68,07;164.553,30 €
B2-0-H;3;2;B2;2;1;0;Central;Piscina;SurOeste;0,00;2,31;0,00;0,00;25,96;0,00;15,57;8,11;8,11;0,00;3,79;2,52;66,37;0,00;50,27;13,43;63,70;6,64;130,07;98,22;73,01;90,00;73,01;0,5185%;75,63;0,00;75,63;75,63;0,00;75,63;0,00;6,60;0,00;0,00;6,60;3,30;78,93;78,93;78,93;195.891,67 €
B2-0-I;4;2;B2;2;1;0;Esquina;Campo de Golf;SurEste;0,00;4,42;0,00;0,00;32,66;0,00;14,65;10,36;8,03;8,03;4,51;3,11;85,77;0,00;111,21;11,09;122,30;5,55;208,07;146,92;91,32;90,00;90,00;0,6391%;98,42;0,00;98,42;98,42;0,00;98,42;0,00;4,44;0,00;0,00;4,44;2,22;100,64;100,64;100,64;241.477,20 €
B2-0-J;4;2;B2;2;1;0;Esquina;Campo de Golf;NorEste;0,00;4,42;0,00;0,00;32,66;0,00;14,65;10,36;8,03;8,03;4,51;3,11;85,77;0,00;217,92;10,97;228,89;5,49;314,66;200,22;91,26;90,00;90,00;0,6391%;98,42;0,00;98,42;98,42;0,00;98,42;0,00;4,44;0,00;0,00;4,44;2,22;100,64;100,64;100,64;241.477,20 €
B2-0-K;2;2;B2;2;1;0;Central;Campo de Golf;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;107,12;11,05;118,17;5,53;177,57;118,49;64,93;70,00;64,93;0,4611%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;5,46;0,00;0,00;5,46;2,73;71,48;71,48;71,48;174.212,38 €
B2-0-L;2;2;B2;2;1;0;Central;Campo de Golf;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;114,34;10,70;125,04;5,35;184,44;121,92;64,75;70,00;64,75;0,4598%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;5,46;0,00;0,00;5,46;2,73;71,48;71,48;71,48;173.729,43 €
B2-1-A;2;2;B2;2;1;1;Central;Campo de Golf;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;0,00;9,27;9,27;4,64;68,67;64,04;64,04;70,00;64,04;0,4548%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;5,46;0,00;0,00;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B2-1-B;2;2;B2;2;1;1;Central;Campo de Golf;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;0,00;9,27;9,27;4,64;68,67;64,04;64,04;70,00;64,04;0,4548%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;5,46;0,00;0,00;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B2-1-C;3;2;B2;2;1;1;Esquina;Campo de Golf;NorEste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;21,97;7,12;29,09;3,56;97,09;82,55;71,56;90,00;71,56;0,5082%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;4,44;0,00;0,00;4,44;2,22;80,19;80,19;80,19;192.001,20 €
B2-1-D;3;2;B2;2;1;1;Esquina;Campo de Golf;NorOeste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;21,97;7,12;29,09;3,56;97,09;82,55;71,56;90,00;71,56;0,5082%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;4,44;0,00;0,00;4,44;2,22;80,19;80,19;80,19;192.001,20 €
B2-1-E;3;2;B2;2;1;1;Central;Piscina;SurOeste;0,00;2,31;0,00;0,00;25,96;0,00;15,57;8,11;8,11;0,00;3,79;2,52;66,37;0,00;0,00;11,06;11,06;5,53;77,43;71,90;71,90;90,00;71,90;0,5106%;75,63;0,00;75,63;75,63;0,00;75,63;0,00;6,60;0,00;0,00;6,60;3,30;78,93;78,93;78,93;192.913,45 €
B2-1-F;3;2;B2;2;1;1;Central;Piscina;SurOeste;3,81;2,48;0,00;0,00;26,64;0,00;12,52;8,26;8,26;0,00;4,55;4,80;71,32;0,00;0,00;9,59;9,59;4,80;80,91;76,12;76,12;90,00;76,12;0,5406%;82,61;0,00;82,61;82,61;0,00;82,61;0,00;5,60;0,00;0,00;5,60;2,80;85,41;85,41;85,41;204.236,05 €
B2-1-G;3;2;B2;2;1;1;Central;Piscina;SurOeste;3,81;2,48;0,00;0,00;26,64;0,00;12,52;8,26;8,26;0,00;4,55;4,80;71,32;0,00;0,00;9,59;9,59;4,80;80,91;76,12;76,12;90,00;76,12;0,5406%;82,61;0,00;82,61;82,61;0,00;82,61;0,00;5,60;0,00;0,00;5,60;2,80;85,41;85,41;85,41;204.236,05 €
B2-1-H;3;2;B2;2;1;1;Central;Piscina;SurOeste;0,00;2,31;0,00;0,00;25,96;0,00;15,57;8,11;8,11;0,00;3,79;2,52;66,37;0,00;0,00;11,06;11,06;5,53;77,43;71,90;71,90;90,00;71,90;0,5106%;75,63;0,00;75,63;75,63;0,00;75,63;0,00;6,60;0,00;0,00;6,60;3,30;78,93;78,93;78,93;192.913,45 €
B2-1-I;3;2;B2;2;1;1;Esquina;Campo de Golf;SurEste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;21,97;7,12;29,09;3,56;97,09;82,55;71,56;90,00;71,56;0,5082%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;4,44;0,00;0,00;4,44;2,22;80,19;80,19;80,19;192.001,20 €
B2-1-J;3;2;B2;2;1;1;Esquina;Campo de Golf;NorEste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;21,97;7,12;29,09;3,56;97,09;82,55;71,56;90,00;71,56;0,5082%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;4,44;0,00;0,00;4,44;2,22;80,19;80,19;80,19;192.001,20 €
B2-1-K;2;2;B2;2;1;1;Central;Campo de Golf;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;0,00;9,27;9,27;4,64;68,67;64,04;64,04;70,00;64,04;0,4548%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;5,46;0,00;0,00;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B2-1-L;2;2;B2;2;1;1;Central;Campo de Golf;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;0,00;9,27;9,27;4,64;68,67;64,04;64,04;70,00;64,04;0,4548%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;5,46;0,00;0,00;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B2-2-A;2;2;B2;2;1;2;Central;Campo de Golf;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;0,00;9,27;9,27;4,64;68,67;64,04;64,04;70,00;64,04;0,4548%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;5,46;0,00;0,00;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B2-2-B;2;2;B2;2;1;2;Central;Campo de Golf;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;0,00;9,27;9,27;4,64;68,67;64,04;64,04;70,00;64,04;0,4548%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;5,46;0,00;0,00;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B2-2-C;3;2;B2;2;1;2;Esquina;Campo de Golf;NorEste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;0,00;7,12;7,12;3,56;75,12;71,56;71,56;90,00;71,56;0,5082%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;4,44;0,00;0,00;4,44;2,22;80,19;80,19;80,19;192.001,20 €
B2-2-D;3;2;B2;2;1;2;Esquina;Campo de Golf;NorOeste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;0,00;7,12;7,12;3,56;75,12;71,56;71,56;90,00;71,56;0,5082%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;4,44;0,00;0,00;4,44;2,22;80,19;80,19;80,19;192.001,20 €
B2-2-E;3;2;B2;2;1;2;Central;Piscina;SurOeste;0,00;2,31;0,00;0,00;25,96;0,00;15,57;8,11;8,11;0,00;3,79;2,52;66,37;0,00;0,00;11,06;11,06;5,53;77,43;71,90;71,90;90,00;71,90;0,5106%;75,63;0,00;75,63;75,63;0,00;75,63;0,00;6,60;0,00;0,00;6,60;3,30;78,93;78,93;78,93;192.913,45 €
B2-2-F;3;2;B2;2;1;2;Central;Piscina;SurOeste;3,81;2,48;0,00;0,00;26,64;0,00;12,52;8,26;8,26;0,00;4,55;4,80;71,32;0,00;0,00;9,71;9,71;4,86;81,03;76,18;76,18;90,00;76,18;0,5410%;82,61;0,00;82,61;82,61;0,00;82,61;0,00;5,60;0,00;0,00;5,60;2,80;85,41;85,41;85,41;204.397,03 €
B2-2-G;3;2;B2;2;1;2;Central;Piscina;SurOeste;3,81;2,48;0,00;0,00;26,64;0,00;12,52;8,26;8,26;0,00;4,55;4,80;71,32;0,00;0,00;9,71;9,71;4,86;81,03;76,18;76,18;90,00;76,18;0,5410%;82,61;0,00;82,61;82,61;0,00;82,61;0,00;5,60;0,00;0,00;5,60;2,80;85,41;85,41;85,41;204.397,03 €
B2-2-H;3;2;B2;2;1;2;Central;Piscina;SurOeste;0,00;2,31;0,00;0,00;25,96;0,00;15,57;8,11;8,11;0,00;3,79;2,52;66,37;0,00;0,00;11,06;11,06;5,53;77,43;71,90;71,90;90,00;71,90;0,5106%;75,63;0,00;75,63;75,63;0,00;75,63;0,00;6,60;0,00;0,00;6,60;3,30;78,93;78,93;78,93;192.913,45 €
B2-2-I;3;2;B2;2;1;2;Esquina;Campo de Golf;SurEste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;0,00;7,12;7,12;3,56;75,12;71,56;71,56;90,00;71,56;0,5082%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;4,44;0,00;0,00;4,44;2,22;80,19;80,19;80,19;192.001,20 €
B2-2-J;3;2;B2;2;1;2;Esquina;Campo de Golf;NorEste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;0,00;7,12;7,12;3,56;75,12;71,56;71,56;90,00;71,56;0,5082%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;4,44;0,00;0,00;4,44;2,22;80,19;80,19;80,19;192.001,20 €
B2-2-K;2;2;B2;2;1;2;Central;Campo de Golf;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;0,00;9,27;9,27;4,64;68,67;64,04;64,04;70,00;64,04;0,4548%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;5,46;0,00;0,00;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B2-2-L;2;2;B2;2;1;2;Central;Campo de Golf;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;0,00;9,27;9,27;4,64;68,67;64,04;64,04;70,00;64,04;0,4548%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;5,46;0,00;0,00;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B2-3-A;2;2;B2;2;1;3;Central;Campo de Golf;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;0,00;9,27;9,27;4,64;68,67;64,04;64,04;70,00;64,04;0,4548%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;5,46;0,00;0,00;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B2-3-B;2;2;B2;2;1;3;Central;Campo de Golf;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;0,00;9,27;9,27;4,64;68,67;64,04;64,04;70,00;64,04;0,4548%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;5,46;0,00;0,00;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B2-3-C;3;2;B2;2;1;3;Esquina;Campo de Golf;NorEste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;7,12;0,00;7,12;0,00;75,12;71,56;68,00;90,00;68,00;0,4829%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;0,00;0,00;0,00;0,00;0,00;77,97;77,97;77,97;182.449,44 €
B2-3-D;3;2;B2;2;1;3;Esquina;Campo de Golf;NorOeste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;7,12;0,00;7,12;0,00;75,12;71,56;68,00;90,00;68,00;0,4829%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;0,00;0,00;0,00;0,00;0,00;77,97;77,97;77,97;182.449,44 €
B2-3-E;3;2;B2;2;1;3;Central;Piscina;SurOeste;0,00;2,31;0,00;0,00;25,96;0,00;15,57;8,11;8,11;0,00;3,79;2,52;66,37;0,00;0,00;11,06;11,06;5,53;77,43;71,90;71,90;90,00;71,90;0,5106%;75,63;0,00;75,63;75,63;0,00;75,63;0,00;6,60;0,00;0,00;6,60;3,30;78,93;78,93;78,93;192.913,45 €
B2-3-F;3;2;B2;2;1;3;Central;Piscina;SurOeste;3,81;2,48;0,00;0,00;26,64;0,00;12,52;8,26;8,26;0,00;4,55;4,80;71,32;0,00;0,00;9,71;9,71;4,86;81,03;76,18;76,18;90,00;76,18;0,5410%;82,61;0,00;82,61;82,61;0,00;82,61;0,00;5,60;0,00;0,00;5,60;2,80;85,41;85,41;85,41;204.397,03 €
B2-3-G;3;2;B2;2;1;3;Central;Piscina;SurOeste;3,81;2,48;0,00;0,00;26,64;0,00;12,52;8,26;8,26;0,00;4,55;4,80;71,32;0,00;0,00;9,71;9,71;4,86;81,03;76,18;76,18;90,00;76,18;0,5410%;82,61;0,00;82,61;82,61;0,00;82,61;0,00;5,60;0,00;0,00;5,60;2,80;85,41;85,41;85,41;204.397,03 €
B2-3-H;3;2;B2;2;1;3;Central;Piscina;SurOeste;0,00;2,31;0,00;0,00;25,96;0,00;15,57;8,11;8,11;0,00;3,79;2,52;66,37;0,00;0,00;11,06;11,06;5,53;77,43;71,90;71,90;90,00;71,90;0,5106%;75,63;0,00;75,63;75,63;0,00;75,63;0,00;6,60;0,00;0,00;6,60;3,30;78,93;78,93;78,93;192.913,45 €
B2-3-I;3;2;B2;2;1;3;Esquina;Campo de Golf;SurEste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;7,12;0,00;7,12;0,00;75,12;71,56;68,00;90,00;68,00;0,4829%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;0,00;0,00;0,00;0,00;0,00;77,97;77,97;77,97;182.449,44 €
B2-3-J;3;2;B2;2;1;3;Esquina;Campo de Golf;NorEste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;7,12;0,00;7,12;0,00;75,12;71,56;68,00;90,00;68,00;0,4829%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;0,00;0,00;0,00;0,00;0,00;77,97;77,97;77,97;182.449,44 €
B2-3-K;2;2;B2;2;1;3;Central;Campo de Golf;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;0,00;9,27;9,27;4,64;68,67;64,04;64,04;70,00;64,04;0,4548%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;5,46;0,00;0,00;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B2-3-L;2;2;B2;2;1;3;Central;Campo de Golf;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;0,00;9,27;9,27;4,64;68,67;64,04;64,04;70,00;64,04;0,4548%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;5,46;0,00;0,00;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B2-4-A;4;2;B2;2;1;4;Ático Esquina;Piscina;SurOeste;2,45;4,22;0,00;0,00;33,88;0,00;14,95;8,36;8,54;8,86;5,25;3,16;89,67;0,00;221,51;0,00;221,51;0,00;311,18;200,43;89,67;90,00;89,67;0,6368%;104,49;0,00;104,49;104,49;0,00;104,49;0,00;0,00;0,00;0,00;0,00;0,00;104,49;104,49;104,49;240.591,78 €
B2-4-B;3;2;B2;2;1;4;Ático Central;Piscina;SurOeste;0,00;2,39;0,00;0,00;30,40;0,00;12,49;8,19;8,07;0,00;5,01;5,13;71,68;0,00;48,58;0,00;48,58;0,00;120,26;95,97;71,68;90,00;71,68;0,5090%;83,84;0,00;83,84;83,84;0,00;83,84;0,00;0,00;0,00;0,00;0,00;0,00;83,84;83,84;83,84;192.323,17 €
B2-4-C;3;2;B2;2;1;4;Ático Central;Piscina;SurOeste;0,00;2,39;0,00;0,00;30,40;0,00;12,49;8,19;8,07;0,00;5,01;5,13;71,68;0,00;48,58;0,00;48,58;0,00;120,26;95,97;71,68;90,00;71,68;0,5090%;83,84;0,00;83,84;83,84;0,00;83,84;0,00;0,00;0,00;0,00;0,00;0,00;83,84;83,84;83,84;192.323,17 €
B2-4-D;4;2;B2;2;1;4;Ático Esquina;Piscina;SurOeste;2,45;4,22;0,00;0,00;33,88;0,00;14,95;8,36;8,54;8,86;5,25;3,16;89,67;0,00;222,89;0,00;222,89;0,00;312,56;201,12;89,67;90,00;89,67;0,6368%;104,49;0,00;104,49;104,49;0,00;104,49;0,00;0,00;0,00;0,00;0,00;0,00;104,49;104,49;104,49;240.591,78 €
B3-0-A;2;2;B3;3;1;0;Central;Piscina;Norte;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;64,74;10,70;75,44;5,35;134,84;97,12;64,75;70,00;64,75;0,4598%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;5,46;0,00;0,00;5,46;2,73;71,48;71,48;71,48;173.729,43 €
B3-0-B;4;2;B3;3;1;0;Esquina;Campo de Golf;Oeste;0,00;4,42;0,00;0,00;32,66;0,00;14,65;10,36;8,03;8,03;4,51;3,11;85,77;0,00;111,97;11,09;123,06;5,55;208,83;147,30;91,32;90,00;90,00;0,6391%;98,42;0,00;98,42;98,42;0,00;98,42;0,00;4,44;0,00;0,00;4,44;2,22;100,64;100,64;100,64;241.477,20 €
