GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS
ID-G;TRASTERO VINC;% ÚTIL PRIV-G;CONST-G;ÚTIL PRIV-G;ZC RODADURA;PRIV+ZC;CALIFICABLE-G;PRECIO MÁX-G;TIPO-G;ID-T;% ÚTIL PRIV2;CONST-T;ÚTIL PRIV-T;CALIFICABLE-T;PRECIO MÁX-T
B3-PL-10;B3-TR-26;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B3-TR-26;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-11;B3-TR-27;0,2645%;23,49;13,82;2,17;15,99;15,99;25.741,47 €;ABIERTO;B3-TR-27;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-12;B3-TR-28;0,2781%;24,70;14,53;2,28;16,81;16,81;27.061,54 €;ABIERTO;B3-TR-28;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-13;B3-TR-29;0,3759%;33,38;19,64;3,09;22,73;22,73;36.591,85 €;ABIERTO;B3-TR-29;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-14;B3-TR-30;0,3740%;33,21;19,54;3,07;22,61;22,61;36.398,66 €;ABIERTO;B3-TR-30;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-15;B3-TR-31;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-31;0,1361%;12,09;7,11;7,11;11.446,02 €
B3-PL-16;B3-TR-32;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-32;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-17;B3-TR-33;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-33;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-18;B3-TR-34;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-34;0,1361%;12,09;7,11;7,11;11.446,02 €
B3-PL-19;B3-TR-35;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-35;0,1307%;11,61;6,83;6,83;10.995,26 €
B3-PL-20;B3-TR-36;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-36;0,1361%;12,09;7,11;7,11;11.446,02 €
B3-PL-21;B3-TR-37;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-37;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-22;B3-TR-38;0,2943%;26,14;15,38;2,42;17,80;17,80;28.655,29 €;ABIERTO;B3-TR-38;0,1479%;13,13;7,73;7,73;12.444,13 €
B3-PL-23;B3-TR-39;0,2991%;26,56;15,63;2,46;18,09;18,09;29.122,15 €;ABIERTO;B3-TR-39;0,1391%;12,35;7,27;7,27;11.703,59 €
B3-PL-24;B3-TR-40;0,2566%;22,79;13,41;2,11;15,52;15,52;24.984,84 €;ABIERTO;B3-TR-40;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-25;B3-TR-41;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-41;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-25;B3-TR-42;0,2974%;26,41;15,54;2,44;17,98;17,98;28.945,07 €;ABIERTO;B3-TR-42;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-26;B3-TR-43;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-43;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-27;B3-TR-44;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-44;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-28;B3-TR-45;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-45;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-29;B3-TR-46;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-46;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-30;B3-TR-47;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-47;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-31;B3-TR-48;0,2664%;23,66;13,92;2,19;16,11;16,11;25.934,65 €;ABIERTO;B3-TR-48;0,1319%;11,71;6,89;6,89;11.091,85 €
B3-PL-32;B3-TR-49;0,2610%;23,18;13,64;2,14;15,78;15,78;25.403,40 €;ABIERTO;B3-TR-49;0,1037%;9,21;5,42;5,42;8.725,38 €
B3-PL-33;B3-TR-50;0,2622%;23,29;13,70;2,15;15,85;15,85;25.516,09 €;ABIERTO;B3-TR-50;0,1221%;10,84;6,38;6,38;10.270,83 €
B3-PL-34;B3-TR-51;0,2664%;23,66;13,92;2,19;16,11;16,11;25.934,65 €;ABIERTO;B3-TR-51;0,1345%;11,94;7,03;7,03;11.317,23 €
B3-PL-35;B3-TR-52;0,2566%;22,79;13,41;2,11;15,52;15,52;24.984,84 €;ABIERTO;B3-TR-52;0,1072%;9,52;5,60;5,60;9.015,15 €
B3-PL-36;B3-TR-53;0,2599%;23,08;13,58;2,13;15,71;15,71;25.290,71 €;ABIERTO;B3-TR-53;0,1508%;13,39;7,88;7,88;12.685,60 €
B3-PL-37;B3-TR-54;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B3-TR-54;0,1156%;10,27;6,04;6,04;9.723,48 €
B3-PL-38;B4-TR-01;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B4-TR-01;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-39;B4-TR-02;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B4-TR-02;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-40;B4-TR-03;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B4-TR-03;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-41;B4-TR-04;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B4-TR-04;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-42;B4-TR-05;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B4-TR-05;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-43;B4-TR-06;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B4-TR-06;0,1391%;12,35;7,27;7,27;11.703,59 €
B3-PL-44;B4-TR-07;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B4-TR-07;0,1393%;12,37;7,28;7,28;11.719,69 €
B3-PL-45;B4-TR-08;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B4-TR-08;0,1338%;11,88;6,99;6,99;11.252,84 €
B3-PL-46;B4-TR-09;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B4-TR-09;0,1988%;17,65;10,39;8,00;12.878,78 €
B3-PL-47;B4-TR-10;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B4-TR-10;0,1424%;12,65;7,44;7,44;11.977,27 €
B3-PL-48;B4-TR-11;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B4-TR-11;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-49;B4-TR-12;0,2811%;24,96;14,69;2,31;17,00;17,00;27.367,42 €;ABIERTO;B4-TR-12;0,1391%;12,35;7,27;7,27;11.703,59 €
B3-PL-50;B4-TR-13;0,2953%;26,22;15,43;2,42;17,85;17,85;28.735,79 €;ABIERTO;B4-TR-13;0,1391%;12,35;7,27;7,27;11.703,59 €
B3-PL-51;B4-TR-14;0,4124%;36,62;21,55;3,39;24,94;24,94;40.149,61 €;ABIERTO;B4-TR-14;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-52;B4-TR-15;0,2974%;26,41;15,54;2,44;17,98;17,98;28.945,07 €;ABIERTO;B4-TR-15;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-53;B4-TR-16;0,2564%;22,77;13,40;2,11;15,51;15,51;24.968,74 €;ABIERTO;B4-TR-16;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-54;B4-TR-17;0,2564%;22,77;13,40;2,11;15,51;15,51;24.968,74 €;ABIERTO;B4-TR-17;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-55;B4-TR-18;0,2564%;22,77;13,40;2,11;15,51;15,51;24.968,74 €;ABIERTO;B4-TR-18;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-56;B4-TR-19;0,2564%;22,77;13,40;2,11;15,51;15,51;24.968,74 €;ABIERTO;B4-TR-19;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-57;B4-TR-20;0,2947%;26,17;15,40;2,42;17,82;17,82;28.687,49 €;ABIERTO;B4-TR-20;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-58;B4-TR-21;0,2947%;26,17;15,40;2,42;17,82;17,82;28.687,49 €;ABIERTO;B4-TR-21;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-59;B4-TR-22;0,2564%;22,77;13,40;2,11;15,51;15,51;24.968,74 €;ABIERTO;B4-TR-22;0,1409%;12,51;7,36;7,36;11.848,48 €
B3-PL-60;B4-TR-23;0,2564%;22,77;13,40;2,11;15,51;15,51;24.968,74 €;ABIERTO;B4-TR-23;0,1409%;12,51;7,36;7,36;11.848,48 €
B3-PL-61;B4-TR-24;0,2564%;22,77;13,40;2,11;15,51;15,51;24.968,74 €;ABIERTO;B4-TR-24;0,1342%;11,92;7,01;7,01;11.285,03 €
B3-PL-62;B4-TR-25;0,2564%;22,77;13,40;2,11;15,51;15,51;24.968,74 €;ABIERTO;B4-TR-25;0,1606%;14,26;8,39;8,00;12.878,78 €
B3-PL-63;B4-TR-26;0,2564%;22,77;13,40;2,11;15,51;15,51;24.968,74 €;ABIERTO;B4-TR-26;0,1010%;8,97;5,28;5,28;8.500,00 €
B3-PL-64;B4-TR-27;0,2564%;22,77;13,40;2,11;15,51;15,51;24.968,74 €;ABIERTO;B4-TR-27;0,1378%;12,24;7,20;7,20;11.590,91 €
B3-PL-65;B4-TR-28;0,2564%;22,77;13,40;2,11;15,51;15,51;24.968,74 €;ABIERTO;B4-TR-28;0,1479%;13,13;7,73;7,73;12.444,13 €
B3-PL-66;B4-TR-29;0,2564%;22,77;13,40;2,11;15,51;15,51;24.968,74 €;ABIERTO;B4-TR-29;0,1409%;12,51;7,36;7,36;11.848,48 €
B3-PL-67;B4-TR-30;0,7027%;62,40;36,72;5,77;42,49;25,00;40.246,20 €;ABIERTO;B4-TR-30;0,1407%;12,50;7,35;7,35;11.832,38 €
B3-PL-68;B4-TR-31;0,7027%;62,40;36,72;5,77;42,49;25,00;40.246,20 €;ABIERTO;B4-TR-31;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-69;B4-TR-32;0,3646%;32,38;19,05;2,99;22,04;22,04;35.481,05 €;ABIERTO;B4-TR-32;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-70;B4-TR-33;0,3095%;27,49;16,17;2,54;18,71;18,71;30.120,26 €;ABIERTO;B4-TR-33;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-71;B4-TR-34;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B4-TR-34;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-72;B4-TR-35;0,2614%;23,21;13,66;2,15;15,81;15,81;25.451,70 €;ABIERTO;B4-TR-35;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-73;B4-TR-36;0,2553%;22,67;13,34;2,10;15,44;15,44;24.856,05 €;ABIERTO;B4-TR-36;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-74;B4-TR-37;0,4551%;40,42;23,78;3,74;27,52;25,00;40.246,20 €;ABIERTO;B4-TR-37;0,1334%;11,85;6,97;6,97;11.220,64 €
B3-PL-75;B4-TR-38;0,2855%;25,35;14,92;2,34;17,26;17,26;27.785,98 €;ABIERTO;B4-TR-38;0,1334%;11,85;6,97;6,97;11.220,64 €
B4-PL-01;B4-TR-39;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B4-TR-39;0,1391%;12,35;7,27;7,27;11.703,59 €
B4-PL-02;B4-TR-40;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B4-TR-40;0,1391%;12,35;7,27;7,27;11.703,59 €
B4-PL-03;B4-TR-41;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B4-TR-41;0,1334%;11,85;6,97;6,97;11.220,64 €
B4-PL-04;B4-TR-42;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B4-TR-42;0,1378%;12,24;7,20;7,20;11.590,91 €
B4-PL-05;B4-TR-43;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B4-TR-43;0,1424%;12,65;7,44;7,44;11.977,27 €
B4-PL-06;B4-TR-44;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B4-TR-44;0,1301%;11,55;6,80;6,80;10.946,97 €
B4-PL-07;B4-TR-45;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B4-TR-45;0,1340%;11,90;7,00;7,00;11.268,94 €
B4-PL-08;B4-TR-46;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B4-TR-46;0,1386%;12,31;7,24;7,24;11.655,30 €
B4-PL-09;B4-TR-47;0,3759%;33,38;19,64;3,09;22,73;22,73;36.591,85 €;ABIERTO;B4-TR-47;0,1334%;11,85;6,97;6,97;11.220,64 €
B4-PL-10;B4-TR-48;0,3690%;32,77;19,28;3,03;22,31;22,31;35.915,71 €;ABIERTO;B4-TR-48;0,1334%;11,85;6,97;6,97;11.220,64 €
B4-PL-11;B4-TR-49;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B4-TR-49;0,1391%;12,35;7,27;7,27;11.703,59 €
B4-PL-12;B4-TR-50;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B4-TR-50;0,1391%;12,35;7,27;7,27;11.703,59 €
B4-PL-13;B4-TR-51;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B4-TR-51;0,1334%;11,85;6,97;6,97;11.220,64 €
B4-PL-14;B4-TR-52;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B4-TR-52;0,1334%;11,85;6,97;6,97;11.220,64 €
B4-PL-15;B4-TR-53;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B4-TR-53;0,1334%;11,85;6,97;6,97;11.220,64 €
B4-PL-16;B4-TR-54;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B4-TR-54;0,1334%;11,85;6,97;6,97;11.220,64 €
B4-PL-17;B4-TR-55;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B4-TR-55;0,1334%;11,85;6,97;6,97;11.220,64 €
B4-PL-18;;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-19;;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-20;;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-21;;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-22;;0,2660%;23,62;13,90;2,18;16,08;16,08;25.886,36 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-23;;0,2660%;23,62;13,90;2,18;16,08;16,08;25.886,36 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-24;;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-25;;0,3104%;27,57;16,22;2,55;18,77;18,77;30.216,85 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-26;;0,3546%;31,49;18,53;2,91;21,44;21,44;34.515,14 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-27;;0,4903%;43,54;25,62;4,03;29,65;25,00;40.246,20 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-28;;0,2779%;24,68;14,52;2,28;16,80;16,80;27.045,45 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-29;;0,2660%;23,62;13,90;2,18;16,08;16,08;25.886,36 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-30;;0,2660%;23,62;13,90;2,18;16,08;16,08;25.886,36 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-31;;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-32;;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-33;;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-34;;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-35;;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-36;;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-37;;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-38;;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-39;;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-40;;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-41;;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-42;;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-43;;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-44;;0,2723%;24,18;14,23;2,24;16,47;16,47;26.514,20 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-45;;0,2723%;24,18;14,23;2,24;16,47;16,47;26.514,20 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-46;;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-47;;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-48;;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-49;;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-50;;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-51;;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-52;;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-53;;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-54;;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
B4-PL-55;;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;;0,0000%;0,00;0,00;0,00;0,00 €
